"Table with row headings in Column B and column headings are in rows 4-7, 89-92, 174-177, 259-262, 344-347. Leading dots indicate sub-parts.",,,,,,,,,,,,,,,,,,,
Table 4. Rental Vacancy Rates for the 75 Largest Metropolitan Statistical Areas: 2015 to 2020,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,Metropolitan Statistical Area,First         Quarter       2020,Margin of Error1,Second         Quarter       2020,Margin of Error1,Third         Quarter       2020,Margin of Error1,Fourth         Quarter       2020,Margin of Error1,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,"Akron, OH ................................................................................................................",2.0,4.1,3.6,6.1,4.0,5.7,14.2,10.1,,,,,,,,,,
,"Albany-Schenectady-Troy, NY .....................................................................",7.9,6.6,10.8,7.0,15.5,9.2,15.6,8.8,,,,,,,,,,
,"Albuquerque, NM...................................................................................................",7.1,3.7,6.8,3.6,7.8,3.7,4.4,2.7,,,,,,,,,,
,"Allentown-Bethlehem-Easton, PA-NJ..................................................................",7.7,7.7,3.2,5.0,0.0,(z),6.1,7.2,,,,,,,,,,
**,"Atlanta-Sandy Springs-Roswell, GA1....................................................",7.8,2.7,7.6,2.7,6.4,2.5,5.9,2.3,,,,,,,,,,
,"Austin-Round Rock, TX.....................................................................................................",12.3,5.1,9.1,4.7,6.4,4.1,4.4,3.4,,,,,,,,,,
*,"Baltimore-Columbia-Towson, MD2.....................................................................................................",7.7,3.7,8.1,4.0,11.5,4.7,8.1,4.4,,,,,,,,,,
,"Baton Rouge, LA……………………………………….",8.2,4.8,9.0,5.3,10.2,5.5,12.8,5.4,,,,,,,,,,
,"Birmingham-Hoover, AL......................................................................................................",11.5,5.1,13.5,5.6,6.6,4.3,9.8,5.4,,,,,,,,,,
*,"Boston-Cambridge-Newton, MA-NH3...................................................................................",1.7,1.2,2.9,1.5,4.8,1.9,5.0,1.9,,,,,,,,,,
,"Bridgeport-Stamford-Norwalk, CT.....................................................................",3.5,4.4,5.5,4.7,4.7,4.7,2.5,3.5,,,,,,,,,,
*,"Buffalo-Cheektowaga-Niagara Falls, NY4...............................................................................",5.2,5.0,10.4,7.2,2.8,3.7,7.5,5.9,,,,,,,,,,
,"Cape Coral-Fort Myers, FL...................................................................................",2.4,5.3,10.5,12.4,15.2,11.9,5.8,8.5,,,,,,,,,,
,"Charleston-North Charleston-Summerville, SC....................................................................................................",13.6,8.7,14.9,8.4,16.5,8.9,21.0,9.3,,,,,,,,,,
**,"Charlotte-Concord-Gastonia, NC-SC5...................................................................................",5.5,3.8,7.3,4.6,9.5,4.9,8.3,4.9,,,,,,,,,,
*,"Chicago-Naperville-Elgin, IL-IN-WI6....................................................................................................",5.7,1.8,5.7,1.7,6.2,1.8,5.2,1.8,,,,,,,,,,
**,"Cincinnati, OH-KY-IN7............................................................................................",11.5,5.7,10.9,5.5,11.1,5.6,9.3,4.8,,,,,,,,,,
*,"Cleveland-Elyria, OH8..............................................................................................",3.3,2.9,1.5,1.8,5.3,3.7,5.4,3.5,,,,,,,,,,
