"Table with row headings in Column B and column headings are in rows 4-7, 89-92, 174-177, 259-262, 344-347. Leading dots indicate sub-parts.",,,,,,,,,,,,,,,,,,,
Table 6. Homeownership Rates for the 75 Largest Metropolitan Statistical Areas: 2015 to 2020,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,Metropolitan Statistical Area,First         Quarter       2020,Margin of Error1,Second         Quarter       2020,Margin of Error1,Third         Quarter       2020,Margin of Error1,Fourth         Quarter       2020,Margin of Error1,,,,,,,,,,
**,"Richmond, VA.........................................................................................................................................................................",57.5,6.5,61.6,8.2,66.3,7.8,61.1,8.5,,,,,,,,,,
*,"Riverside-San Bernardino-Ontario, CA..................................................................................................................................",62.3,3.9,62.6,4.7,62.6,4.7,64.4,4.7,,,,,,,,,,
**,"Rochester, NY...........................................................................................................................................................................................",53.0,7.1,65.7,8.2,55.8,8.7,57.5,8.2,,,,,,,,,,
,"Sacramento-Roseville-Arden-Arcade, CA25........................................................................................................................",57.9,5.0,61.0,6.2,61.5,6.3,61.9,6.0,,,,,,,,,,
**,"St. Louis, MO-IL..................................................................................................................................................................................",67.9,4.1,66.2,5.1,67.2,5.2,64.1,5.1,,,,,,,,,,
**,"Salt Lake City, UT....................................................................................................................................................................",71.8,4.8,62.4,6.0,67.3,5.9,75.5,5.3,,,,,,,,,,
*,"San Antonio-New Braunfels, TX26...........................................................................................................................................................................",64.0,5.0,57.3,6.4,61.8,6.3,63.0,6.2,,,,,,,,,,
*,"San Diego-Carlsbad, CA27.................................................................................................................................",50.9,4.3,52.1,5.2,54.4,5.4,55.7,5.3,,,,,,,,,,
*,"San Francisco-Oakland-Hayward, CA28....................................................................................................................................",58.1,3.5,53.0,4.4,54.3,4.4,57.7,4.4,,,,,,,,,,
,"San Jose-Sunnyvale-Santa Clara, CA...................................................................................................................................",50.9,5.9,51.0,7.0,48.1,6.8,49.9,7.0,,,,,,,,,,
*,"Seattle-Tacoma-Bellevue, WA........................................................................................................................................................",57.7,3.9,55.4,4.6,58.5,4.6,59.2,4.5,,,,,,,,,,
,"Syracuse, NY………………………………………….",70.1,8.6,60.3,11.4,58.0,11.2,56.2,10.8,,,,,,,,,,
,"Tampa-St. Petersburg-Clearwater, FL..............................................................................................................................................",65.9,4.2,62.7,5.1,61.6,5.3,61.5,5.3,,,,,,,,,,
**,"Toledo, OH………………………………………………..",71.9,8.3,63.6,11.1,53.2,11.3,61.6,11.5,,,,,,,,,,
,"Tucson, AZ ..........................................................................................................................................................................................................",51.0,7.8,55.7,9.2,60.9,8.6,56.5,8.5,,,,,,,,,,
,"Tulsa, OK....................................................................................................................................................................................................",63.3,6.9,68.0,6.8,63.3,6.8,67.1,6.7,,,,,,,,,,
,"Urban Honolulu, HI29..................................................................................................................................",59.2,4.5,57.7,4.6,55.5,4.6,59.3,4.7,,,,,,,,,,
**,"Virginia Beach-Norfolk-Newport News, VA-NC30...............................................................................................................................",59.3,6.2,54.3,7.7,61.4,7.5,63.0,7.2,,,,,,,,,,
**,"Washington-Arlington-Alexandria, DC-VA-MD-WV..........................................................................................",63.1,3.1,64.2,3.8,63.0,3.9,61.9,3.9,,,,,,,,,,
**,"Worcester, MA.........................................................................................................................................................................................",64.6,7.7,59.3,8.3,65.5,7.9,72.0,7.3,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
Table 6. Homeownership Rates for the 75 Largest Metropolitan Statistical Areas: 2015 to 2020 - Continued,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,Metropolitan Statistical Area,First Quarter 2015,Margin of Error3,Second Quarter 2015,Margin of Error3,Third Quarter 2015,Margin of Error3,Fourth Quarter 2015,Margin of Error3,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,"Akron, OH ................................................................................................................",68.6,8.7,73.9,8.0,79.9,7.3,73.4,8.4,,,,,,,,,,
,"Albany-Schenectady-Troy, NY .....................................................................",65.9,8.2,63.5,7.7,66.6,7.5,67.5,7.4,,,,,,,,,,
,"Albuquerque, NM...................................................................................................",63.8,4.6,60.5,4.8,65.9,4.7,67.4,4.7,,,,,,,,,,
,"Allentown-Bethlehem-Easton, PA-NJ..................................................................",69.2,7.7,72.7,8.0,71.5,8.0,63.5,8.6,,,,,,,,,,
**,"Atlanta-Sandy Springs-Roswell, GA1....................................................",60.5,3.3,59.9,3.2,60.9,3.2,65.5,3.1,,,,,,,,,,
,"Austin-Round Rock, TX.....................................................................................................",57.5,5.7,59.0,5.7,56.8,6.0,56.9,5.6,,,,,,,,,,
*,"Baltimore-Columbia-Towson, MD2.....................................................................................................",62.0,4.9,64.6,4.8,66.6,4.6,67.2,4.5,,,,,,,,,,
,"Baton Rouge, LA……………………………………….",62.7,8.8,61.1,8.4,64.8,7.9,68.4,8.1,,,,,,,,,,
,"Birmingham-Hoover, AL......................................................................................................",68.7,7.1,72.5,6.5,75.5,6.5,68.1,7.3,,,,,,,,,,
*,"Boston-Cambridge-Newton, MA-NH3...................................................................................",60.5,3.5,58.2,3.5,58.7,3.4,59.5,3.5,,,,,,,,,,
,"Bridgeport-Stamford-Norwalk, CT.....................................................................",68.4,7.4,69.0,7.0,63.6,7.5,64.5,7.2,,,,,,,,,,
*,"Buffalo-Cheektowaga-Niagara Falls, NY4...............................................................................",61.5,6.8,64.4,6.9,68.0,6.8,62.1,6.5,,,,,,,,,,
,"Cape Coral-Fort Myers, FL...................................................................................",67.6,9.0,67.8,9.1,53.3,10.2,61.7,10.4,,,,,,,,,,
,"Charleston-North Charleston-Summerville, SC....................................................................................................",63.6,9.1,66.3,9.6,66.1,9.6,67.1,8.9,,,,,,,,,,
**,"Charlotte-Concord-Gastonia, NC-SC5...................................................................................",63.0,5.1,61.8,5.1,58.9,5.3,65.0,5.1,,,,,,,,,,
*,"Chicago-Naperville-Elgin, IL-IN-WI6....................................................................................................",64.4,2.4,64.7,2.4,64.4,2.4,63.9,2.4,,,,,,,,,,
**,"Cincinnati, OH-KY-IN7............................................................................................",68.3,5.0,66.8,5.0,68.2,4.9,60.4,5.1,,,,,,,,,,
*,"Cleveland-Elyria, OH8..............................................................................................",68.9,4.7,65.9,4.7,70.5,4.8,68.3,4.8,,,,,,,,,,
,"Columbia, SC………………………………………….",64.6,8.9,64.2,8.4,69.2,8.1,66.6,8.5,,,,,,,,,,
**,"Columbus, OH............................................................................................................................................",56.6,5.5,58.2,5.4,60.1,5.2,61.1,5.2,,,,,,,,,,
**,"Dallas-Ft. Worth-Arlington, TX...........................................................................................................",56.5,3.0,55.1,2.9,60.9,2.9,58.5,3.0,,,,,,,,,,
**,"Dayton, OH...........................................................................................................................................................",61.8,8.6,55.1,8.7,63.1,8.8,63.5,8.2,,,,,,,,,,
*,"Denver-Aurora-Lakewood, CO9...............................................................................................................................",55.0,4.9,58.2,4.8,64.8,4.6,67.5,4.3,,,,,,,,,,
*,"Detroit-Warren-Dearborn, MI10....................................................................................................................",74.6,3.2,73.0,3.3,73.8,3.2,74.6,3.2,,,,,,,,,,
,"Fresno, CA………………………………………………",54.5,8.6,56.1,8.1,64.7,8.1,60.2,8.6,,,,,,,,,,
**,"Grand Rapids-Wyoming, MI....................................................................................................................................",75.5,6.5,73.4,6.6,77.2,6.1,77.0,6.4,,,,,,,,,,
,"Greensboro-High Point, NC............................................................................................................................",66.3,8.8,74.9,8.3,62.4,9.5,58.0,9.3,,,,,,,,,,
,"Hartford-West Hartford-East Hartford, CT................................................................................",63.0,6.6,67.1,6.1,67.4,5.8,66.6,5.9,,,,,,,,,,
**,"Houston-The Woodlands-Sugar Land, TX11....................................................................................................",57.7,3.3,62.1,3.2,59.4,3.3,61.8,3.2,,,,,,,,,,
**,"Indianapolis-Carmel-Anderson, IN12.............................................................................................................................................",66.4,5.2,67.3,5.1,63.6,5.4,61.0,5.2,,,,,,,,,,
,"Jacksonville, FL..........................................................................................................................................",65.0,6.2,60.4,6.4,63.9,6.5,60.8,6.3,,,,,,,,,,
**,"Kansas City, MO-KS.............................................................................................................................................",64.6,5.2,61.8,5.3,64.2,4.9,69.1,4.8,,,,,,,,,,
,"Knoxville, TN.............................................................................................................................................",77.6,7.2,70.1,7.8,68.1,7.5,67.0,7.8,,,,,,,,,,
*,"Las Vegas-Henderson-Paradise, NV13..................................................................................................................",50.3,3.9,50.0,3.6,52.6,3.6,55.2,3.7,,,,,,,,,,
,"Little Rock-North Little Rock-Conway, AR..................................................................................................................",71.9,6.5,63.0,6.7,58.6,7.1,70.0,6.6,,,,,,,,,,
*,"Los Angeles-Long Beach-Anaheim, CA14...............................................................................................................",50.2,2.2,48.5,2.2,48.5,2.2,49.1,2.2,,,,,,,,,,
**,"Louisville/Jefferson County, KY-IN15..............................................................................................................................................................",58.5,6.8,67.3,6.8,73.8,6.2,70.6,6.0,,,,,,,,,,
**,"Memphis, TN-AR-MS.............................................................................................................................................",55.4,6.6,57.8,6.6,63.7,6.8,62.2,6.6,,,,,,,,,,
*,"Miami-Fort Lauderdale-West Palm Beach, FL16....................................................................................................................",57.4,3.3,58.8,3.2,59.0,3.1,59.1,3.3,,,,,,,,,,
,"Milwaukee-Waukesha-West Allis, WI........................................................................................................................................",58.4,6.1,59.2,5.9,55.0,5.9,55.4,6.1,,,,,,,,,,
**,"Minneapolis-St. Paul-Bloomington, MN-WI ...........................................................................................................................",70.8,4.0,67.9,3.9,65.8,4.0,67.4,3.8,,,,,,,,,,
**,"Nashville-Davidson-Murfreesboro-Franklin, TN17............................................................................................................................",74.5,5.1,65.0,5.5,64.4,5.8,65.3,5.6,,,,,,,,,,
,"New Haven-Milford, CT..............................................................................................................................................................",63.2,7.6,64.0,7.0,61.3,7.4,69.9,7.0,,,,,,,,,,
**,"New Orleans-Metairie, LA.18....................................................................................................................................",69.2,6.6,59.9,7.0,55.8,7.3,65.9,6.7,,,,,,,,,,
**,"New York-Newark-Jersey City, NY-NJ-PA19.......................................................................................................",49.4,1.8,49.1,1.8,50.3,1.8,50.8,1.8,,,,,,,,,,
,"North Port-Bradenton-Sarasota, FL.......................................................................................................",73.4,7.9,75.6,8.1,67.1,9.4,68.3,8.8,,,,,,,,,,
,"Oklahoma City, OK.............................................................................................................................................................................",60.8,6.2,60.6,6.1,63.1,5.8,60.7,6.1,,,,,,,,,,
,"Omaha-Council Bluffs, NE-IA........................................................................................................................................................",70.9,5.2,69.7,5.0,70.7,4.8,67.1,4.8,,,,,,,,,,
*,"Orlando-Kissimmee-Sanford, FL20............................................................................................................................................................................................",59.9,5.3,59.4,5.4,57.7,5.2,56.7,5.2,,,,,,,,,,
,"Philadelphia-Camden-Wilmington, PA-NJ-DE-MD21 .....................................................................................................................................",67.7,3.1,66.6,3.1,67.2,3.1,66.3,3.1,,,,,,,,,,
,"Phoenix-Mesa-Scottsdale, AZ.......................................................................................................................................",61.8,3.8,60.9,3.9,60.5,3.9,60.9,3.7,,,,,,,,,,
,"Pittsburgh, PA.....................................................................................................................................................................................................",73.1,4.4,65.8,4.6,70.1,4.5,75.1,4.3,,,,,,,,,,
,"Portland-Vancouver-Hillsboro, OR-WA22......................................................................................................................................",59.4,4.9,56.8,4.9,59.7,4.9,60.1,4.8,,,,,,,,,,
*,"Providence-Warwick, RI-MA23.........................................................................................................................",61.1,3.0,62.4,3.0,57.8,3.0,58.5,3.0,,,,,,,,,,
*,"Raleigh, NC24............................................................................................................................................................................",71.5,6.2,69.9,6.6,68.6,6.9,59.2,7.0,,,,,,,,,,
**,"Richmond, VA.........................................................................................................................................................................",66.3,6.6,65.0,6.4,68.3,6.0,70.7,6.4,,,,,,,,,,
*,"Riverside-San Bernardino-Ontario, CA..................................................................................................................................",58.9,4.0,60.1,3.9,62.7,3.8,62.4,3.9,,,,,,,,,,
**,"Rochester, NY...........................................................................................................................................................................................",61.2,7.0,70.8,6.4,65.2,7.0,62.4,6.7,,,,,,,,,,
,"Sacramento-Roseville-Arden-Arcade, CA25........................................................................................................................",60.5,5.0,59.7,5.2,60.3,5.0,62.6,4.9,,,,,,,,,,
**,"St. Louis, MO-IL..................................................................................................................................................................................",67.4,4.3,71.8,4.0,70.3,4.3,65.2,4.3,,,,,,,,,,
**,"Salt Lake City, UT....................................................................................................................................................................",72.4,4.8,66.1,5.0,64.7,5.0,73.7,4.8,,,,,,,,,,
*,"San Antonio-New Braunfels, TX26...........................................................................................................................................................................",65.0,5.1,61.4,5.3,64.4,5.1,72.7,4.7,,,,,,,,,,
*,"San Diego-Carlsbad, CA27.................................................................................................................................",53.1,4.4,51.5,4.3,51.9,4.4,50.7,4.4,,,,,,,,,,
*,"San Francisco-Oakland-Hayward, CA28....................................................................................................................................",52.5,3.6,57.7,3.6,55.6,3.6,59.4,3.6,,,,,,,,,,
,"San Jose-Sunnyvale-Santa Clara, CA...................................................................................................................................",58.0,5.8,51.0,6.0,48.7,5.7,45.4,5.6,,,,,,,,,,
*,"Seattle-Tacoma-Bellevue, WA........................................................................................................................................................",60.0,3.8,60.9,4.0,59.2,4.0,58.1,4.0,,,,,,,,,,
,"Syracuse, NY………………………………………….",63.6,9.0,62.8,8.9,59.2,9.0,65.4,8.7,,,,,,,,,,
,"Tampa-St. Petersburg-Clearwater, FL..............................................................................................................................................",66.6,4.2,63.6,4.3,63.1,4.3,66.6,4.3,,,,,,,,,,
**,"Toledo, OH………………………………………………..",64.2,8.9,59.2,9.5,63.3,8.7,65.0,9.6,,,,,,,,,,
,"Tucson, AZ ..........................................................................................................................................................................................................",62.2,7.3,64.5,7.2,60.6,7.2,58.5,7.5,,,,,,,,,,
,"Tulsa, OK....................................................................................................................................................................................................",67.2,7.2,66.4,7.2,62.9,7.2,64.7,6.9,,,,,,,,,,
,"Urban Honolulu, HI29..................................................................................................................................",60.2,4.7,56.5,4.5,61.5,4.5,60.0,4.5,,,,,,,,,,
**,"Virginia Beach-Norfolk-Newport News, VA-NC30...............................................................................................................................",59.5,5.9,59.6,5.9,61.4,6.2,58.0,6.1,,,,,,,,,,
**,"Washington-Arlington-Alexandria, DC-VA-MD-WV..........................................................................................",64.2,3.2,65.8,3.1,64.8,3.1,64.0,3.1,,,,,,,,,,
**,"Worcester, MA.........................................................................................................................................................................................",68.9,7.5,56.2,8.5,63.0,7.9,67.4,7.5,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
Footnotes:,,,,,,,,,,,,,,,,,,,
"Source: Current Population Survey/Housing Vacancy Survey, U.S. Census Bureau, Washington, DC 20233",,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
(z) Less than 0.05.   ,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
"1 A margin of error is a measure of an estimate’s reliability. The larger the margin of error in relation to the size of the estimate, ",,,,,,,,,,,,,,,,,,,
"the less reliable the estimate. This number, when added to and subtracted from the estimate, forms the 90 percent confidence interval. ",,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
2 Margins of error from the first quarter 2005 through the first quarter 2016 were calculated based on the same set of parameters. ,,,,,,,,,,,,,,,,,,,
"Beginning in the second quarter 2016, the parameters were updated to reflect the population size of each MSA. ",,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
3 Data from 2015 and later are based on 2010 metropolitan/nonmetropolitan definitions. See Source and Accuracy section for explanation.,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
*  Boundaries did not change as a result of the 2010 Decennial Census of Population,,,,,,,,,,,,,,,,,,,
   and Housing; one or more central city/cities added or deleted.,,,,,,,,,,,,,,,,,,,
** Boundaries changed as a result of the 2010 Decennial Census of Population,,,,,,,,,,,,,,,,,,,
   and Housing; one or more county/counties added or deleted.,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
"1 Formerly titled Atlanta-Sandy Springs-Marietta, GA.",,,,,,,,,,,,,,,,,,,
"2 Formerly titled Baltimore-Towson, MD.",,,,,,,,,,,,,,,,,,,
"3 Formerly titled Boston-Cambridge-Quincy, MA-NH.",,,,,,,,,,,,,,,,,,,
"4 Formerly titled Buffalo-Cheektowaga-Tonawanda, NY.",,,,,,,,,,,,,,,,,,,
"5 Formerly titled Charlotte-Gastonia-Concord, NC-SC.",,,,,,,,,,,,,,,,,,,
"6 Formerly titled Chicago-Naperville-Joliet, IL.",,,,,,,,,,,,,,,,,,,
"7 Formerly titled Cincinnati-Middletown, OH-KY-IN.",,,,,,,,,,,,,,,,,,,
"8 Formerly titled Cleveland-Elyria-Mentor, OH.",,,,,,,,,,,,,,,,,,,
"9 Formerly titled Denver-Aurora, CO.",,,,,,,,,,,,,,,,,,,
"10 Formerly titled Detroit-Warren-Livonia, MI.",,,,,,,,,,,,,,,,,,,
"11 Formerly titled Houston-Baytown-Sugar Land, TX.",,,,,,,,,,,,,,,,,,,
"12 Formerly titled Indianapolis, IN.",,,,,,,,,,,,,,,,,,,
"13 Formerly titled Las Vegas-Paradise, NV.",,,,,,,,,,,,,,,,,,,
"14 Formerly titled Los Angeles-Long Beach-Santa Ana, CA.",,,,,,,,,,,,,,,,,,,
"15 Formerly titled Louisville, KY-IN.",,,,,,,,,,,,,,,,,,,
"16 Formerly titled Miami-Fort Lauderdale-Miami Beach, FL.",,,,,,,,,,,,,,,,,,,
"17 Formerly titled Nashville-Davidson-Murfreesboro, TN.",,,,,,,,,,,,,,,,,,,
"18 Formerly titled New Orleans-Metairie-Kenner, LA.",,,,,,,,,,,,,,,,,,,
"19 Formerly titled New York-Northern New Jersey--Long Island, NY.",,,,,,,,,,,,,,,,,,,
"20 Formerly titled Orlando, FL.",,,,,,,,,,,,,,,,,,,
"21 Formerly titled Philadelphia-Camden-Wilmington, PA.",,,,,,,,,,,,,,,,,,,
"22 Formerly titled Portland-Vancouver-Beaverton, OR-WA.",,,,,,,,,,,,,,,,,,,
23 Formerly titled Providence-New Bedford-Fall River RI-MA.,,,,,,,,,,,,,,,,,,,
"24 Formerly titled Raleigh-Cary, NC.",,,,,,,,,,,,,,,,,,,
"25 Formerly titled Sacramento-Arden-Arcade-Roseville, CA.",,,,,,,,,,,,,,,,,,,
"26 Formerly titled San Antonio, TX.",,,,,,,,,,,,,,,,,,,
"27 Formerly titled San Diego-Carlsbad-San Marco, CA.",,,,,,,,,,,,,,,,,,,
"28 Formerly titled San Francisco-Oakland-Fremont, CA.",,,,,,,,,,,,,,,,,,,
"29 Formerly titled Honolulu, HI.",,,,,,,,,,,,,,,,,,,
"30 Formerly titled Virginia Beach-Norfolk-Newport News, VA.",,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
