"Table with row headings in Column B and column headings are in rows 4-7, 89-92, 174-177, 259-262, 344-347. Leading dots indicate sub-parts.",,,,,,,,,,,,,,,,,,,
Table 6. Homeownership Rates for the 75 Largest Metropolitan Statistical Areas: 2015 to 2020,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,Metropolitan Statistical Area,First         Quarter       2020,Margin of Error1,Second         Quarter       2020,Margin of Error1,Third         Quarter       2020,Margin of Error1,Fourth         Quarter       2020,Margin of Error1,,,,,,,,,,
,"Akron, OH ................................................................................................................",68.3,9.9,75.0,9.2,67.8,10.1,72.0,9.5,,,,,,,,,,
,"Albany-Schenectady-Troy, NY .....................................................................",60.9,10.1,54.7,10.4,67.4,9.7,61.8,10.0,,,,,,,,,,
,"Albuquerque, NM...................................................................................................",72.1,4.5,71.7,4.5,68.9,4.7,67.2,4.6,,,,,,,,,,
,"Allentown-Bethlehem-Easton, PA-NJ..................................................................",70.5,9.4,68.9,9.5,61.3,10.2,70.4,9.7,,,,,,,,,,
**,"Atlanta-Sandy Springs-Roswell, GA1....................................................",62.6,3.9,65.5,3.8,64.6,3.8,64.1,3.7,,,,,,,,,,
,"Austin-Round Rock, TX.....................................................................................................",58.8,6.7,60.3,6.8,58.9,6.9,58.1,6.8,,,,,,,,,,
*,"Baltimore-Columbia-Towson, MD2.....................................................................................................",62.4,5.4,65.8,5.4,66.3,5.4,71.7,5.1,,,,,,,,,,
,"Baton Rouge, LA……………………………………….",66.1,6.4,70.9,6.1,68.0,6.5,59.3,6.8,,,,,,,,,,
,"Birmingham-Hoover, AL......................................................................................................",63.0,6.4,66.4,6.1,66.8,6.2,70.6,6.1,,,,,,,,,,
*,"Boston-Cambridge-Newton, MA-NH3...................................................................................",60.9,3.6,61.8,3.5,59.6,3.6,61.2,3.5,,,,,,,,,,
,"Bridgeport-Stamford-Norwalk, CT.....................................................................",66.5,8.3,58.1,8.5,63.3,8.3,63.1,8.4,,,,,,,,,,
*,"Buffalo-Cheektowaga-Niagara Falls, NY4...............................................................................",61.1,8.8,71.5,7.7,66.0,8.0,66.7,8.0,,,,,,,,,,
,"Cape Coral-Fort Myers, FL...................................................................................",70.5,11.1,76.0,11.3,69.3,11.7,72.5,11.1,,,,,,,,,,
,"Charleston-North Charleston-Summerville, SC....................................................................................................",73.1,8.2,68.0,8.8,69.5,8.7,71.8,7.9,,,,,,,,,,
**,"Charlotte-Concord-Gastonia, NC-SC5...................................................................................",70.8,5.4,73.8,5.3,71.9,5.4,72.8,5.5,,,,,,,,,,
*,"Chicago-Naperville-Elgin, IL-IN-WI6....................................................................................................",65.1,2.9,62.0,2.9,61.8,2.9,64.9,2.9,,,,,,,,,,
**,"Cincinnati, OH-KY-IN7............................................................................................",69.2,6.1,66.5,6.4,68.2,6.3,65.9,6.1,,,,,,,,,,
*,"Cleveland-Elyria, OH8..............................................................................................",63.8,6.0,60.4,5.8,69.5,5.5,64.0,5.8,,,,,,,,,,
,"Columbia, SC………………………………………….",69.0,8.4,67.4,8.4,64.4,8.1,63.6,8.0,,,,,,,,,,
**,"Columbus, OH............................................................................................................................................",67.8,5.8,66.6,6.1,63.4,6.2,64.8,6.0,,,,,,,,,,
**,"Dallas-Ft. Worth-Arlington, TX...........................................................................................................",59.0,3.5,59.2,3.4,61.3,3.4,63.2,3.4,,,,,,,,,,
**,"Dayton, OH...........................................................................................................................................................",67.4,10.2,68.7,10.5,65.0,10.4,64.5,10.3,,,,,,,,,,
*,"Denver-Aurora-Lakewood, CO9...............................................................................................................................",64.9,5.2,63.2,5.2,64.4,5.3,61.5,5.3,,,,,,,,,,
*,"Detroit-Warren-Dearborn, MI10....................................................................................................................",68.1,4.0,68.4,4.1,71.1,4.0,73.1,3.9,,,,,,,,,,
,"Fresno, CA………………………………………………",48.0,10.7,45.0,10.2,47.9,9.9,54.9,9.3,,,,,,,,,,
**,"Grand Rapids-Wyoming, MI....................................................................................................................................",76.4,7.8,69.8,8.5,75.2,7.9,79.3,7.6,,,,,,,,,,
,"Greensboro-High Point, NC............................................................................................................................",70.6,8.4,59.3,9.3,57.5,8.9,59.3,9.1,,,,,,,,,,
,"Hartford-West Hartford-East Hartford, CT................................................................................",60.4,7.2,60.9,7.1,63.0,6.8,66.7,6.9,,,,,,,,,,
**,"Houston-The Woodlands-Sugar Land, TX11....................................................................................................",60.6,3.7,57.4,3.9,63.3,3.8,63.8,3.7,,,,,,,,,,
**,"Indianapolis-Carmel-Anderson, IN12.............................................................................................................................................",65.7,5.7,68.8,5.7,67.2,5.8,63.4,5.7,,,,,,,,,,
,"Jacksonville, FL..........................................................................................................................................",60.6,7.4,64.7,7.4,65.2,7.0,61.8,7.3,,,,,,,,,,
**,"Kansas City, MO-KS.............................................................................................................................................",67.6,4.4,64.1,4.4,64.1,4.3,64.5,4.4,,,,,,,,,,
,"Knoxville, TN.............................................................................................................................................",70.1,7.5,72.9,7.5,66.2,8.2,65.5,8.1,,,,,,,,,,
*,"Las Vegas-Henderson-Paradise, NV13..................................................................................................................",57.4,4.5,54.4,4.5,53.8,4.4,58.4,4.5,,,,,,,,,,
,"Little Rock-North Little Rock-Conway, AR..................................................................................................................",65.8,10.1,63.0,9.9,66.3,9.8,65.1,9.8,,,,,,,,,,
*,"Los Angeles-Long Beach-Anaheim, CA14...............................................................................................................",49.8,2.7,46.5,2.7,48.2,2.7,48.2,2.7,,,,,,,,,,
**,"Louisville/Jefferson County, KY-IN15..............................................................................................................................................................",64.6,6.9,63.7,7.0,66.4,6.6,64.9,7.0,,,,,,,,,,
**,"Memphis, TN-AR-MS.............................................................................................................................................",65.7,7.1,61.1,6.9,65.3,6.7,62.7,6.7,,,,,,,,,,
*,"Miami-Fort Lauderdale-West Palm Beach, FL16....................................................................................................................",62.0,3.9,56.2,3.9,58.9,3.8,64.7,3.8,,,,,,,,,,
,"Milwaukee-Waukesha-West Allis, WI........................................................................................................................................",55.1,7.2,52.8,7.1,58.8,7.0,60.8,7.0,,,,,,,,,,
**,"Minneapolis-St. Paul-Bloomington, MN-WI ...........................................................................................................................",69.1,4.6,68.8,4.5,70.6,4.5,72.4,4.5,,,,,,,,,,
**,"Nashville-Davidson-Murfreesboro-Franklin, TN17............................................................................................................................",64.8,5.6,68.9,5.5,72.8,5.2,73.1,5.4,,,,,,,,,,
,"New Haven-Milford, CT..............................................................................................................................................................",57.1,9.4,63.2,8.9,72.1,8.1,67.4,8.7,,,,,,,,,,
**,"New Orleans-Metairie, LA.18....................................................................................................................................",63.5,5.7,59.0,5.8,56.4,5.8,65.6,5.7,,,,,,,,,,
**,"New York-Newark-Jersey City, NY-NJ-PA19.......................................................................................................",49.8,2.2,50.5,2.2,51.0,2.2,50.4,2.1,,,,,,,,,,
,"North Port-Bradenton-Sarasota, FL.......................................................................................................",78.0,8.9,73.4,10.3,76.7,10.5,68.0,10.0,,,,,,,,,,
