"Table with row headings in Column B and column headings are in rows 4-7, 89-92, 174-177, 259-262, 344-347. Leading dots indicate sub-parts.",,,,,,,,,,,,,,,,,,,,,
Table 5. Homeowner Vacancy Rates for the 75 Largest Metropolitan Statistical Areas: 2015 to 2020,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,Metropolitan Statistical Area,First         Quarter       2020,Margin of Error1,Second         Quarter       2020,Margin of Error1,Third         Quarter       2020,Margin of Error1,Fourth         Quarter       2020,Margin of Error1,,,,,,,,,,,,
,"Phoenix-Mesa-Scottsdale, AZ.......................................................................................................................................",0.8,0.7,0.7,0.7,0.6,0.6,0.8,0.7,,,,,,,,,,,,
,"Pittsburgh, PA.....................................................................................................................................................................................................",1.2,1.2,0.6,0.9,1.0,1.1,1.0,1.1,,,,,,,,,,,,
,"Portland-Vancouver-Hillsboro, OR-WA22......................................................................................................................................",1.5,1.1,0.6,0.7,0.6,0.7,0.6,0.7,,,,,,,,,,,,
*,"Providence-Warwick, RI-MA23.........................................................................................................................",0.6,0.5,0.5,0.5,1.0,0.7,1.2,0.8,,,,,,,,,,,,
*,"Raleigh, NC24............................................................................................................................................................................",(z),(z),(z),(z),0.9,1.3,0.9,1.5,,,,,,,,,,,,
**,"Richmond, VA.........................................................................................................................................................................",1.8,2.1,0.5,1.1,0.3,0.9,1.0,1.7,,,,,,,,,,,,
*,"Riverside-San Bernardino-Ontario, CA..................................................................................................................................",1.4,1.1,0.7,0.7,(z),(z),1.2,1.0,,,,,,,,,,,,
**,"Rochester, NY...........................................................................................................................................................................................",0.8,1.4,0.9,1.6,1.7,2.2,0.6,1.2,,,,,,,,,,,,
,"Sacramento-Roseville-Arden-Arcade, CA25........................................................................................................................",1.4,1.5,0.7,1.0,1.3,1.3,0.6,0.9,,,,,,,,,,,,
**,"St. Louis, MO-IL..................................................................................................................................................................................",0.9,0.9,0.8,0.8,0.5,0.7,0.6,0.8,,,,,,,,,,,,
**,"Salt Lake City, UT....................................................................................................................................................................",0.6,0.9,0.6,0.9,(z),(z),(z),(z),,,,,,,,,,,,
*,"San Antonio-New Braunfels, TX26...........................................................................................................................................................................",1.8,1.6,0.9,1.0,0.2,0.5,1.0,1.2,,,,,,,,,,,,
*,"San Diego-Carlsbad, CA27.................................................................................................................................",0.3,0.6,1.1,1.2,1.1,1.1,0.6,0.8,,,,,,,,,,,,
*,"San Francisco-Oakland-Hayward, CA28....................................................................................................................................",0.3,0.5,0.1,0.3,0.8,0.8,0.7,0.8,,,,,,,,,,,,
,"San Jose-Sunnyvale-Santa Clara, CA...................................................................................................................................",(z),(z),(z),(z),(z),(z),(z),(z),,,,,,,,,,,,
*,"Seattle-Tacoma-Bellevue, WA........................................................................................................................................................",0.8,0.8,0.3,0.5,0.8,0.8,0.6,0.7,,,,,,,,,,,,
