RegionID,RegionName,1/31/2019,2/28/2019,3/31/2019,4/30/2019,5/31/2019,6/30/2019,7/31/2019,8/31/2019,9/30/2019,10/31/2019,11/30/2019,12/31/2019,1/31/2020,2/29/2020,3/31/2020,4/30/2020,5/31/2020,6/30/2020,7/31/2020,8/31/2020,9/30/2020,10/31/2020,11/30/2020,12/31/2020,1/31/2021,2/28/2021
394640,"Tucson, AZ",211478,212397,213234,214272,216242,217920,219124,218869,219098,219796,221576,222838,224270,225377,226845,228561,229372,230308,231765,234588,237523,240070,242117,244234,246642,249474
395167,"Urban Honolulu, HI",207130,208364,209556,210134,211197,212835,214470,215672,216793,217948,218923,220666,221363,222757,224231,226794,228590,230232,232236,234963,237875,240986,244870,249028,253986,258436
753924,"Tulsa, OK",726049,726774,727653,726754,725019,723552,724071,723994,722768,721202,718964,717039,716005,715566,715427,716195,718364,720854,721981,723321,726503,730842,736538,742440,748162,753653
395169,"Fresno, CA",144059,144376,144944,145354,145665,146059,146492,146879,147307,147969,148466,148642,148934,149909,151068,152351,153426,154514,155605,156709,157865,158831,160007,161492,162996,163975
394619,"Worcester, MA",258576,259231,260468,261096,261332,262662,263547,264506,264271,265299,265873,266386,266962,268101,270046,272205,273872,274866,276820,279840,283904,287006,290141,293838,297774,301653
395238,"Stamford, CT",285102,285028,284518,285510,287462,289642,290946,291554,291367,291783,292357,293817,295949,298149,300602,302213,303800,304819,306949,310284,314954,320207,325374,329786,334194,339311
394415,"Albuquerque, NM",419184,419934,420033,421505,423620,422671,420767,417615,415698,415311,414751,414802,415691,416496,417860,418990,420105,422841,426611,431501,436680,441895,448018,454018,460736,467478
394312,"Albany, NY",199905,200694,201214,201774,202607,203906,205312,206748,208083,208978,209908,211095,212485,214000,215349,216910,218704,220401,222518,224680,227178,229862,233047,236202,239556,243220
394308,"Omaha, NE",200756,201589,202495,203147,203365,203483,203579,203461,203522,203391,204196,205066,205884,205889,205830,206148,207059,208210,209789,211536,213480,215937,218236,220762,223301,226622
394938,"New Haven, CT",191682,192111,192545,193067,194184,195281,196643,197768,198703,199190,199952,200810,202179,203215,204215,205078,205834,206786,207834,209292,211049,213177,215118,216961,218668,221072
394908,"Bakersfield, CA",228856,229509,229728,230231,231103,232123,232920,232839,232040,230898,230638,230492,232155,233454,235131,236431,237737,239162,241192,244094,248036,252384,256795,261146,264863,269132
394357,"Knoxville, TN",223091,224276,224880,224839,225771,227437,228538,229399,229860,230576,231549,231856,232317,233168,235470,237609,238826,239950,242095,244646,247561,250164,253318,257159,260996,264767
394753,"Greenville, SC",182418,183633,184497,185623,186567,187742,188450,189483,190506,191549,192480,193264,194317,195527,197058,198318,199775,201158,202979,204837,207070,209443,212129,214916,217710,220494
394653,"Ventura, CA",196814,197587,198101,198928,199794,200745,201732,202512,202975,203553,204042,204777,205574,206334,207133,207846,208801,209845,210992,212417,214193,216110,218154,220100,222300,224877
394952,"Allentown, PA",597896,597219,597747,601117,602625,603223,602539,602417,601754,602732,603413,606786,608396,609676,610099,612000,614427,617226,621246,625536,631870,637406,644124,649434,656966,665254
394318,"El Paso, TX",207154,207489,207939,208064,208946,209730,210400,210564,210705,210840,211204,211289,212290,213349,214761,215916,217017,218399,220143,222571,225308,228280,231484,235174,238482,242232
394561,"Baton Rouge, LA",131385,131901,132910,134154,135407,136406,137041,137526,136790,135803,135184,135672,136537,137277,137792,138263,138592,138983,139740,140724,142670,144904,147012,148655,150152,151751
394367,"Dayton, OH",188756,188593,187908,187349,187284,187698,188324,188526,188473,188369,188069,188209,188477,189178,190196,191325,192094,192328,192484,192885,193547,194236,195366,196081,196659,196737
394521,"McAllen, TX",126797,127396,127758,128387,129273,130383,131188,131738,132134,132924,133622,134396,135210,136105,137488,138886,139937,140819,141844,143290,145035,146756,148589,150357,152368,154328
394843,"Columbia, SC",112941,113179,113478,114075,114892,115660,116490,116945,117327,117231,117372,117868,118930,119987,120825,121503,122047,122713,123440,124490,125595,127100,128559,129865,130895,131910
394486,"Greensboro, NC",155686,156036,156234,156601,157199,157891,158400,158990,159486,160080,160654,161250,161722,162262,162971,163660,164504,165326,166350,167428,168667,169961,171221,172545,174076,175932
394648,"Akron, OH",146717,147582,148299,149107,149938,150874,151835,152756,153740,154413,155005,155553,156501,157580,158804,160076,161466,162719,163887,165460,167187,169366,171443,173613,175641,177809
394304,"North Port-Sarasota-Bradenton, FL",145785,146536,147026,147343,147902,149308,150349,150937,151297,151455,151573,151971,152677,153849,154874,155984,157007,157780,158878,160200,161633,163408,165292,167029,168714,170098
753906,"Little Rock, AR",272599,273694,273776,273397,272578,273252,275128,275895,275874,275118,275713,276613,277574,277852,278973,280482,282434,283736,284638,286568,289538,293242,296281,299359,302722,306766
394798,"Stockton, CA",150756,151323,151422,151539,151467,151704,151740,151941,152104,152461,152687,152926,152937,153216,153869,154766,155598,156288,157135,158030,158972,159885,160878,161918,163237,164404
395134,"Charleston, SC",375355,373683,375619,375602,377484,379497,380934,382134,381109,380909,380967,382888,383921,386192,387774,390312,391818,392782,396073,400180,406860,412692,419548,426551,434652,443194
394457,"Syracuse, NY",269217,269883,270798,271751,272535,273078,273571,273835,274043,274076,274452,274969,275746,276721,277507,278375,279448,280982,282679,284588,286649,289092,291604,294218,296752,299338
395143,"Colorado Springs, CO",139777,139946,139730,140021,140716,141556,142148,142632,143123,143749,144347,144865,145407,146196,147526,148729,149775,150714,151949,153286,154964,156653,158510,160369,162329,164330
