RegionType,State,Name,FIPSCode,2020-03,2020-04,2020-05,2020-06,2020-07,2020-08,2020-09,countyname_x,state_x,ssacounty_x,fipscounty_x,msa_x,l_x,msaname_x,cbsa_x,cbsaname_x,Region,countyname_y,state_y,ssacounty_y,fipscounty_y,msa_y,l_y,msaname_y,cbsa_y,cbsaname_y
County,HI,Honolulu County,15003,0.7,0.5,0.5,0.4,0.4,0.3,0.3,HONOLULU,HI,12020,15003,3320.0,,"HONOLULU, HI",26180.0,"Honolulu, HI",0,HONOLULU,HI,12020,15003,3320.0,,"HONOLULU, HI",26180.0,"Honolulu, HI"
County,HI,Maui County,15009,1.3,0.7,1.1,0.8,0.7,0.7,0.4,MAUI,HI,12050,15009,12.0,,HAWAII,,,0,MAUI,HI,12050,15009,12.0,,HAWAII,,
County,ID,Ada County,16001,0.5,0.5,0.5,0.4,0.5,0.5,0.5,ADA,ID,13000,16001,1080.0,,"BOISE CITY, ID",14260.0,"Boise City-Nampa, ID",West,ADA,ID,13000,16001,1080.0,,"BOISE CITY, ID",14260.0,"Boise City-Nampa, ID"
County,ID,Canyon County,16027,0.8,0.5,0.6,1.0,1.0,0.8,0.6,CANYON,ID,13130,16027,1080.0,,"BOISE CITY, ID",14260.0,"Boise City-Nampa, ID",West,CANYON,ID,13130,16027,1080.0,,"BOISE CITY, ID",14260.0,"Boise City-Nampa, ID"
County,ID,Kootenai County,16055,1.0,0.9,0.8,0.8,1.2,1.0,0.8,KOOTENAI,ID,13270,16055,13.0,,IDAHO,17660.0,"Coeur d'Alene, ID",West,KOOTENAI,ID,13270,16055,13.0,,IDAHO,17660.0,"Coeur d'Alene, ID"
County,IL,Champaign County,17019,1.4,1.2,0.8,0.8,1.1,0.9,0.8,CHAMPAIGN,IL,14090,17019,1400.0,,"CHAMPAIGN-URBANA, IL",16580.0,"Champaign-Urbana, IL",Midwest,CHAMPAIGN,IL,14090,17019,1400.0,,"CHAMPAIGN-URBANA, IL",16580.0,"Champaign-Urbana, IL"
County,IL,Cook County,17031,1.6,1.2,1.0,0.7,0.8,0.9,0.7,COOK,IL,14141,17031,1600.0,L,"CHICAGO, IL",16974.0,"Chicago-Naperville-Joliet, IL",Midwest,COOK,IL,14141,17031,1600.0,L,"CHICAGO, IL",16974.0,"Chicago-Naperville-Joliet, IL"
County,IL,DuPage County,17043,1.2,0.8,0.8,0.6,0.6,0.7,0.5,DU PAGE,IL,14250,17043,1600.0,L,"CHICAGO, IL",16974.0,"Chicago-Naperville-Joliet, IL",Midwest,DU PAGE,IL,14250,17043,1600.0,L,"CHICAGO, IL",16974.0,"Chicago-Naperville-Joliet, IL"
County,IL,Kane County,17089,1.4,0.8,1.0,0.8,0.8,0.9,0.9,KANE,IL,14530,17089,1600.0,L,"CHICAGO, IL",16974.0,"Chicago-Naperville-Joliet, IL",Midwest,KANE,IL,14530,17089,1600.0,L,"CHICAGO, IL",16974.0,"Chicago-Naperville-Joliet, IL"
County,IL,Kendall County,17093,1.2,0.9,1.0,0.7,0.9,1.1,1.5,KENDALL,IL,14550,17093,1600.0,L,"CHICAGO, IL",16974.0,"Chicago-Naperville-Joliet, IL",Midwest,KENDALL,IL,14550,17093,1600.0,L,"CHICAGO, IL",16974.0,"Chicago-Naperville-Joliet, IL"
County,IL,Lake County,17097,1.4,1.0,0.6,0.7,0.6,0.6,0.5,LAKE,IL,14570,17097,1600.0,L,"CHICAGO, IL",29404.0,"Lake County-Kenosha County, IL-WI",Midwest,LAKE,IL,14570,17097,1600.0,L,"CHICAGO, IL",29404.0,"Lake County-Kenosha County, IL-WI"
County,IL,McHenry County,17111,1.5,1.1,0.8,0.9,0.9,0.9,0.9,MC HENRY,IL,14640,17111,1600.0,L,"CHICAGO, IL",16974.0,"Chicago-Naperville-Joliet, IL",Midwest,MC HENRY,IL,14640,17111,1600.0,L,"CHICAGO, IL",16974.0,"Chicago-Naperville-Joliet, IL"
County,IL,McLean County,17113,1.8,0.9,0.7,0.5,0.7,0.7,0.6,MC LEAN,IL,14650,17113,1040.0,,"BLOOMINGTON-NORMAL, IL",14060.0,"Bloomington-Normal, IL",Midwest,MC LEAN,IL,14650,17113,1040.0,,"BLOOMINGTON-NORMAL, IL",14060.0,"Bloomington-Normal, IL"
County,IL,Madison County,17119,2.2,1.6,1.1,1.1,1.2,1.0,1.0,MADISON,IL,14680,17119,7040.0,L,"ST. LOUIS, MO-IL",41180.0,"St. Louis, MO-IL",Midwest,MADISON,IL,14680,17119,7040.0,L,"ST. LOUIS, MO-IL",41180.0,"St. Louis, MO-IL"
